SCHOOL,EIN
Adelphi University,11-1630741
Chapman University,95-1643992
Duquesne University,25-1035663
Hofstra University,11-1630906
Loyola Marymount University,95-1643334
Loyola University Chicago,36-1408475
Marquette University,39-0806251
Mercer University,58-0566167
Pace University,13-5562314
Saint Louis University,43-0654872
Seattle University,91-0565006
Seton Hall University,22-1500645
St. John's University-New York,11-1630830
Suffolk University,04-2133255
Syracuse University,15-0532081
University of Denver,84-0404231
University of La Verne,95-1644026
University of San Diego,95-2544535
University of San Francisco,94-1156628
University of St Thomas ,41-0693970
Butler University,35-0867977
Creighton University,47-0376583
Georgetown University, 53-0196603
Providence College,05-0258932
Villanova University,23-1352688
DePaul University,36-2167048